Time (days),up1,up2,up3,up4,up5,up6,up7,up8,up9,up10,up11,up12,up13,up14,up15
143.98,.1910039,.1599402,.1390506,.1179694,.1001073,.0849301,.0720260,.0611062,.0518653,.0114524,.0105486,.0000000,.0000000,.0000000,.0000000
144.98,.1902658,.1597294,.1392526,.1181408,.1002540,.0850545,.0721318,.0611960,.0519416,.0114693,.0105641,.0000000,.0000000,.0000000,.0000000
145.98,.1899033,.1594055,.1393983,.1182644,.1003603,.0851447,.0722086,.0612612,.0519968,.0114815,.0105754,.0000000,.0000000,.0000000,.0000000
146.98,.1892232,.1593272,.1395603,.1184019,.1004778,.0852444,.0722921,.0613320,.0520583,.0114950,.0105879,.0000000,.0000000,.0000000,.0000000
147.98,.1886193,.1592215,.1397108,.1185295,.1005877,.0853376,.0723715,.0613994,.0521155,.0115077,.0105995,.0000000,.0000000,.0000000,.0000000
148.98,.1879681,.1588644,.1399263,.1187124,.1007438,.0854700,.0724827,.0614937,.0521969,.0115256,.0106161,.0000000,.0000000,.0000000,.0000000
149.98,.1859224,.1581332,.1405168,.1192133,.1011741,.0858351,.0727916,.0617558,.0524209,.0115751,.0106616,.0000000,.0000000,.0000000,.0000000
150.98,.1830725,.1569136,.1413802,.1199458,.1018060,.0863712,.0732451,.0621406,.0527490,.0116476,.0107284,.0000000,.0000000,.0000000,.0000000
151.98,.1790580,.1554217,.1425494,.1209378,.1026599,.0870956,.0738591,.0626614,.0531928,.0117456,.0108186,.0000000,.0000000,.0000000,.0000000
152.98,.1784058,.1550280,.1427666,.1211220,.1028240,.0872348,.0739779,.0627622,.0532784,.0117644,.0108360,.0000000,.0000000,.0000000,.0000000
153.98,.1921812,.1614058,.1384813,.1174864,.0997027,.0845867,.0717283,.0608537,.0516600,.0114071,.0105069,.0000000,.0000000,.0000000,.0000000
154.98,.1920031,.1605061,.1387068,.1176777,.0998728,.0847311,.0718489,.0609560,.0517468,.0114263,.0105245,.0000000,.0000000,.0000000,.0000000
155.98,.1920367,.1606241,.1386787,.1176539,.0998474,.0847095,.0718306,.0609404,.0517336,.0114233,.0105218,.0000000,.0000000,.0000000,.0000000
156.98,.1915893,.1598420,.1389381,.1178739,.1000385,.0848716,.0719687,.0610576,.0518330,.0114453,.0105420,.0000000,.0000000,.0000000,.0000000
157.98,.1906024,.1583666,.1394570,.1183142,.1004227,.0851976,.0722437,.0612909,.0520329,.0114894,.0105827,.0000000,.0000000,.0000000,.0000000
158.98,.1889414,.1558001,.1403509,.1190726,.1010787,.0857541,.0727178,.0616932,.0523743,.0115648,.0106521,.0000000,.0000000,.0000000,.0000000
159.98,.1861754,.1535737,.1414067,.1199683,.1018547,.0864124,.0732758,.0621666,.0527782,.0116540,.0107343,.0000000,.0000000,.0000000,.0000000
160.98,.1826372,.1512786,.1426381,.1210130,.1027630,.0871830,.0739283,.0627201,.0532502,.0117582,.0108303,.0000000,.0000000,.0000000,.0000000
161.98,.1782563,.1483891,.1441784,.1223198,.1038900,.0881390,.0747425,.0634109,.0538367,.0118877,.0109496,.0000000,.0000000,.0000000,.0000000
162.98,.1799132,.1445691,.1445871,.1226665,.1042491,.0884436,.0750003,.0636296,.0540246,.0119292,.0109878,.0000000,.0000000,.0000000,.0000000
163.98,.1817276,.1432803,.1444653,.1225632,.1041713,.0883776,.0749458,.0635833,.0539853,.0119205,.0109798,.0000000,.0000000,.0000000,.0000000
164.98,.1947772,.1490976,.1404082,.1191212,.1012691,.0859154,.0728560,.0618104,.0524823,.0115887,.0106741,.0000000,.0000000,.0000000,.0000000
165.98,.1936668,.1493047,.1406033,.1192867,.1014053,.0860309,.0729572,.0618962,.0525552,.0116048,.0106889,.0000000,.0000000,.0000000,.0000000
166.98,.1928027,.1458330,.1415107,.1200565,.1020832,.0866060,.0734450,.0623101,.0529090,.0116829,.0107609,.0000000,.0000000,.0000000,.0000000
167.98,.1905633,.1427461,.1426273,.1210038,.1029151,.0873117,.0740438,.0628181,.0533430,.0117787,.0108492,.0000000,.0000000,.0000000,.0000000
168.98,.1855703,.1384379,.1445585,.1226422,.1043753,.0885504,.0750974,.0637120,.0541049,.0119469,.0110041,.0000000,.0000000,.0000000,.0000000
169.98,.1791991,.1319415,.1472355,.1249134,.1063933,.0902622,.0765535,.0649473,.0551568,.0121792,.0112181,.0000000,.0000000,.0000000,.0000000
170.98,.1697828,.1275116,.1500998,.1273434,.1085715,.0921101,.0781263,.0662817,.0562934,.0124302,.0114492,.0000000,.0000000,.0000000,.0000000
