TIMESTAMP,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,RNET.y,SkyT,Tcan_Avg_corr,Tair,RH
2.02E+11,50.488,24.917,4.6097,263.1,330.43,-47.017,-12.00364191,NA,4.94,70.9
2.02E+11,120.45,61.387,9.9633,263.83,331.33,-16.05,-11.82278917,NA,5.23,68.45
2.02E+11,220.64,110.23,16.343,268.5,334,28.36,-10.67462173,NA,5.77,63.85
2.02E+11,250.69,123.2,17.243,272.2,335.23,42.95,-9.775526617,NA,5.97,62
2.02E+11,381.52,190.03,26.32,279.4,339.37,103.71,-8.051883968,NA,6.83,55.54
2.02E+11,289.07,141.87,19.767,288.43,341.13,69.44,-5.93661904,NA,7.35,51.51
2.02E+11,275.6,133.87,18.583,290.87,341.43,64.74,-5.373590246,NA,7.44,51.13
2.02E+11,336.67,163.83,22.497,291.87,344.63,88.533,-5.14386385,NA,8.47,43.44
2.02E+11,269.4,128.9,17.957,294.8,346.77,58.97,-4.474146855,NA,9.02,39.36
2.02E+11,284.97,135.97,18.563,301.13,348.77,69.773,-3.044151149,NA,9.35,37.12
2.02E+11,352.8,168.9,22.207,308.27,349.2,105.77,-1.457975942,NA,9.24,38.02
2.02E+11,244.72,115.53,15.407,308.9,348.87,60.153,-1.31934704,NA,9.2,38.6
2.02E+11,139.29,64,9.07,308.33,347.43,15.83,-1.44476404,NA,9.22,38.26
2.02E+11,93.763,42.58,6.2777,311.4,347.47,0.23167,-0.77131373,NA,9.38,37.53
2.02E+11,67.473,30.96,4.768,313.7,348.97,-9.1057,-0.27002985,NA,9.65,35.94
2.02E+11,46.371,21.443,3.399,314.27,348.9,-16.61,-0.146225045,NA,9.68,35.49
2.02E+11,16.565,0,0,319.87,347.8,-26.04,1.06123652,NA,9.48,36.29
2.02E+11,2.1037,0,0,318.67,348.3,-29.65,0.803837291,NA,9.82,34.3
2.02E+11,0,0,0,317.9,347.6,-29.73,0.638289657,NA,9.95,32.81
2.02E+11,0,0,0,321.67,348.03,-26.38,1.445980815,NA,9.97,31.53
2.02E+11,0,0,0,318.87,343.7,-24.827,0.846787588,NA,8.62,38.49
2.02E+11,0,0,0,315.83,339.23,-23.417,0.191750138,NA,8.33,41.2
2.02E+11,0,0,0,317.13,338.53,-21.41,0.472441013,NA,9.79,33.92
2.02E+11,0,0,0,316.17,341.03,-24.897,0.265245152,NA,10.55,28.93
2.02E+11,0,0,0,317.2,340.43,-23.217,0.487530635,NA,10.5,29.13
2.02E+11,0,0,0,316.17,340.77,-24.597,0.265245152,NA,10.84,27.81
2.02E+11,0,0,0,311.93,334.3,-22.397,-0.655554892,NA,7.25,41.4
2.02E+11,0,0,0,316.23,338.97,-22.767,0.278208707,NA,10.83,29.62
2.02E+11,0,0,0,312.73,345.03,-32.303,-0.481103632,NA,11.88,24.18
2.02E+11,0,0,0,306.93,343.07,-36.123,-1.753545529,NA,10.97,26.25
2.02E+11,0,0,0,304.37,339.4,-35.003,-2.320917106,NA,9.43,31.43
2.02E+11,0,0,0,302.8,338.13,-35.367,-2.670648243,NA,10.18,29.51
2.02E+11,0,0,0,295.83,339.23,-43.377,-4.239903312,NA,11.67,23.91
2.02E+11,0,0,0,298.1,339.57,-41.47,-3.725809308,NA,11.51,22.89
2.02E+11,0,0,0,277.17,341.3,-64.09,-8.58213715,NA,13.34,17.09
2.02E+11,0,0,0,269.3,338.3,-68.99,-10.47943902,NA,13.03,17.1
2.02E+11,0,0,0,263.7,334.77,-71.09,-11.85496833,NA,12.2,18.08
2.02E+11,0,0,0,286.17,333.37,-47.2,-6.461308613,NA,12.64,17.97
2.02E+11,0,0,0,308.6,340.9,-32.29,-1.385334331,NA,13.19,15.51
2.02E+11,0,0,0,315.97,346.1,-30.127,0.222019974,NA,13.26,15.3
2.02E+11,0,0,0,319.1,346.37,-27.217,0.896155458,NA,12.44,16.96
2.02E+11,0,0,0,321.27,349.2,-27.873,1.36062189,NA,13.45,15.82
2.02E+11,0,0,0,311.37,342.37,-31.007,-0.777870534,NA,10.43,23.83
2.02E+11,0,0,0,308.4,337,-28.547,-1.429352591,NA,9.4,29.38
2.02E+11,0,0,0,306.17,336.83,-30.647,-1.921612353,NA,10.74,23.71
2.02E+11,0,0,0,300.8,336.73,-35.883,-3.118140841,NA,10.55,24.65
2.02E+11,0,0,0,296.17,334.3,-38.137,-4.162714491,NA,9.54,26.48
2.02E+11,5.0203,0,0,297.93,333.87,-35.903,-3.764207837,NA,9.55,26.63
2.02E+11,40.888,18.542,3.5333,289,332.8,-28.787,-5.804772973,NA,8.84,29.16
2.02E+11,100.25,51.383,8.8667,293.7,336.5,-0.299,-4.724988654,NA,10.49,24.8
2.02E+11,162.19,80.76,11.097,294.4,339.4,24.677,-4.565280706,NA,10.18,24.97
2.02E+11,233.18,115.77,15.073,293.53,342.07,52.177,-4.763817948,NA,9.59,29.8
2.02E+11,250.92,123.93,16.313,300.63,347.37,60.907,-3.156280504,NA,11.13,26.5
2.02E+11,298.03,146.27,18.727,300.03,351.37,76.207,-3.291020507,NA,11.9,23.55
2.02E+11,386.14,189.13,22.53,290.07,354.3,102.4,-5.557798229,NA,11.4,26.63
2.02E+11,417.35,202.6,22.247,312.53,358.27,134.6,-0.524685041,NA,11.17,32.45
2.02E+11,352.15,169.37,17.477,319.23,356.63,114.47,0.924047234,NA,10.26,45.06
2.02E+11,348.63,168,18.257,322.47,355,117.2,1.616460122,NA,9.77,42.68
2.02E+11,319.87,154.4,16.64,321.6,355.13,104.27,1.431048752,NA,9.95,40.99
2.02E+11,300.03,144.9,15.77,319.73,354.87,94.033,1.031243967,NA,9.93,46.07
2.02E+11,321.42,155.87,17.3,316.87,356.5,98.933,0.416371968,NA,10.12,45.4
2.02E+11,272.47,132.83,15.137,312.37,355.67,74.407,-0.55956523,NA,10.23,46.73
2.02E+11,235.44,114.47,13.927,305.2,355.13,50.63,-2.136573822,NA,10.3,48.53
2.02E+11,185.62,91.273,13.387,292.9,354,16.757,-4.907861979,NA,10.17,50.35
2.02E+11,66.807,32.327,6.7813,283.87,349.77,-40.38,-6.998485261,NA,9.82,52.34
2.02E+11,10.035,0,0,289.2,346.43,-57.033,-5.758557417,NA,9.46,53.66
2.02E+11,0,0,0,271.7,343.2,-71.537,-9.896488219,NA,9.56,54.46
2.02E+11,0,0,0,263.6,341.43,-77.81,-11.87972963,NA,9.65,55.58
2.02E+11,0,0,0,262.93,339.8,-76.843,-12.04581231,NA,9.68,56.29
2.02E+11,0,0,0,261.1,338.57,-77.45,-12.50106433,NA,9.24,58.56
2.02E+11,0,0,0,259.83,337.73,-77.887,-12.81841286,NA,8.71,60.37
2.02E+11,0,0,0,258.6,338.4,-79.763,-13.12687708,NA,8.11,62.35
2.02E+11,0,0,0,255.7,336.2,-80.467,-13.85853043,NA,7.67,64.01
2.02E+11,0,0,0,254.77,335.6,-80.797,-14.09448171,NA,7.75,63.71
2.02E+11,0,0,0,253.53,335.97,-82.433,-14.41009037,NA,7.95,62.1
2.02E+11,0,0,0,253.73,333.57,-79.813,-14.35910756,NA,8.61,60.31
2.02E+11,0,0,0,255.77,332.23,-76.443,-13.84079672,NA,8.94,58.21
2.02E+11,0,0,0,255.87,332.33,-76.413,-13.81546916,NA,8.48,59.54
2.02E+11,0,0,0,253.8,329.13,-75.34,-14.34127069,NA,7.82,61.72
2.02E+11,0,0,0,251.4,328.53,-77.097,-14.95493748,NA,7.81,60.83
2.02E+11,0,0,0,250.23,327.1,-76.91,-15.25569431,NA,7.24,63.65
2.02E+11,0,0,0,249.77,327.87,-78.09,-15.37422946,NA,6.92,65.26
2.02E+11,0,0,0,251.17,326.47,-75.28,-15.01397759,NA,6.94,63.27
2.02E+11,0,0,0,251.33,324.53,-73.18,-14.97290192,NA,6.79,61.95
2.02E+11,0,0,0,250.47,323,-72.56,-15.19391475,NA,6.58,64.05
